,CITY,SECTOR_ID,SECTOR_NAME,ENODEB_ID,ENODEB_NAME,EARFCN,PCI,PSS,SSS,TAC,AZIMUTH,HEIGHT,ELECTTILT,MECHTILT,TOTLETILT
4161,sanxia,259761-2,B马毛沟棚户区-HLHF-3,259761,B马毛沟棚户区-HLHF,38400,77,2,25,14467,240.0,48.0,6.0,3.0,9.0
4162,sanxia,259761-3,B马毛沟棚户区-HLHD-4,259761,B马毛沟棚户区-HLHF,37900,285,0,95,14467,40.0,48.0,6.0,3.0,9.0
4163,sanxia,259761-4,B马毛沟棚户区-HLHD-5,259761,B马毛沟棚户区-HLHF,37900,286,1,95,14467,135.0,48.0,6.0,3.0,9.0
4164,sanxia,259761-5,B马毛沟棚户区-HLHD-6,259761,B马毛沟棚户区-HLHF,37900,287,2,95,14467,240.0,48.0,6.0,3.0,9.0
4165,sanxia,259762-0,黄河公园-HLHF-1,259762,黄河公园-HLHF,38400,442,1,147,18834,120.0,23.0,6.0,2.0,8.0
4166,sanxia,259762-1,黄河公园-HLHF-2,259762,黄河公园-HLHF,38400,443,2,147,18834,210.0,23.0,6.0,2.0,8.0
4167,sanxia,259762-2,黄河公园-HLHF-3,259762,黄河公园-HLHF,38400,441,0,147,18834,330.0,23.0,6.0,2.0,8.0
4168,sanxia,259763-16,上阳路营业厅小基站-HLWE-1,259763,上阳路营业厅小基站-HLWE,38950,62,2,20,14371,0.0,0.0,0.0,0.0,0.0
4169,sanxia,259763-17,上阳路营业厅小基站-HLWE-2,259763,上阳路营业厅小基站-HLWE,39148,62,2,20,14371,0.0,0.0,0.0,0.0,0.0
4170,sanxia,259764-0,市委三号院-HLHF-1,259764,市委三号院-HLHF,38400,450,0,150,18834,120.0,18.0,6.0,3.0,9.0
4171,sanxia,259764-1,市委三号院-HLHF-2,259764,市委三号院-HLHF,38400,451,1,150,18834,240.0,28.0,6.0,3.0,9.0
4172,sanxia,259765-16,上阳路七号院-HLWE-1,259765,上阳路七号院-HLWE,38950,63,0,21,18834,0.0,0.0,0.0,0.0,0.0
4173,sanxia,259766-16,I滨区政府办公楼-HLWE-1,259766,I滨区政府办公楼-HLWE,38950,64,1,21,18834,0.0,0.0,0.0,0.0,0.0
